BField (G),freq polarisation=-1,rel. intensity polarisation=-1,freq polarisation=0,rel. intensity polarisation=0,freq polarisation=1,rel. intensity polarisation=1
970.6000000001521,2263.562485323402,0.08352099999999998,453.4163177734396,0.16646400000000003,-1356.7556402382017,0.25
970.7000000001522,2263.7957559445113,0.08352099999999998,453.4629718131638,0.16646400000000003,-1356.8956026985597,0.25
970.8000000001522,2264.0290265656486,0.08352099999999998,453.5096258529103,0.16646400000000003,-1357.0355651589186,0.25
970.9000000001522,2264.262297186816,0.08352099999999998,453.55627989268055,0.16646400000000003,-1357.1755276192769,0.25
971.0000000001522,2264.495567808014,0.08352099999999998,453.602933932475,0.16646400000000003,-1357.3154900796349,0.25
971.1000000001522,2264.7288384292424,0.08352099999999998,453.6495879722919,0.16646400000000003,-1357.4554525399938,0.25
971.2000000001523,2264.9621090504993,0.08352099999999998,453.6962420121324,0.16646400000000003,-1357.595415000352,0.25
971.3000000001523,2265.195379671788,0.08352099999999998,453.7428960519969,0.16646400000000003,-1357.73537746071,0.25
971.4000000001523,2265.4286502931063,0.08352099999999998,453.78955009188405,0.16646400000000003,-1357.8753399210682,0.25
971.5000000001523,2265.6619209144546,0.08352099999999998,453.8362041317945,0.16646400000000003,-1358.015302381427,0.25
971.6000000001524,2265.895191535833,0.08352099999999998,453.88285817172914,0.16646400000000003,-1358.155264841785,0.25
971.7000000001524,2266.1284621572413,0.08352099999999998,453.92951221168653,0.16646400000000003,-1358.2952273021433,0.25
971.8000000001524,2266.3617327786797,0.08352099999999998,453.976166251667,0.16646400000000003,-1358.4351897625022,0.25
971.9000000001524,2266.595003400148,0.08352099999999998,454.0228202916717,0.16646400000000003,-1358.5751522228602,0.25
972.0000000001525,2266.828274021647,0.08352099999999998,454.069474331699,0.16646400000000003,-1358.7151146832184,0.25
972.1000000001525,2267.061544643175,0.08352099999999998,454.1161283717496,0.16646400000000003,-1358.8550771435773,0.25
972.2000000001525,2267.294815264734,0.08352099999999998,454.1627824118242,0.16646400000000003,-1358.9950396039353,0.25
972.3000000001525,2267.5280858863216,0.08352099999999998,454.20943645192165,0.16646400000000003,-1359.1350020642935,0.25
972.4000000001525,2267.7613565079396,0.08352099999999998,454.25609049204184,0.16646400000000003,-1359.2749645246524,0.25
972.5000000001526,2267.9946271295885,0.08352099999999998,454.30274453218647,0.16646400000000003,-1359.4149269850104,0.25
972.6000000001526,2268.227897751266,0.08352099999999998,454.3493985723537,0.16646400000000003,-1359.5548894453686,0.25
972.7000000001526,2268.4611683729745,0.08352099999999998,454.39605261254405,0.16646400000000003,-1359.6948519057275,0.25
972.8000000001526,2268.694438994712,0.08352099999999998,454.4427066527578,0.16646400000000003,-1359.8348143660858,0.25
972.9000000001527,2268.9277096164806,0.08352099999999998,454.48936069299566,0.16646400000000003,-1359.9747768264438,0.25
973.0000000001527,2269.1609802382786,0.08352099999999998,454.5360147332557,0.16646400000000003,-1360.1147392868027,0.25
973.1000000001527,2269.394250860106,0.08352099999999998,454.58266877353924,0.16646400000000003,-1360.2547017471609,0.25
973.2000000001527,2269.6275214819652,0.08352099999999998,454.62932281384667,0.16646400000000003,-1360.3946642075189,0.25
973.3000000001527,2269.860792103853,0.08352099999999998,454.6759768541766,0.16646400000000003,-1360.5346266678778,0.25
973.4000000001528,2270.0940627257696,0.08352099999999998,454.72263089452997,0.16646400000000003,-1360.674589128236,0.25
973.5000000001528,2270.3273333477173,0.08352099999999998,454.769284934907,0.16646400000000003,-1360.814551588594,0.25
973.6000000001528,2270.560603969694,0.08352099999999998,454.8159389753066,0.16646400000000003,-1360.954514048953,0.25
973.7000000001528,2270.7938745917013,0.08352099999999998,454.86259301572954,0.16646400000000003,-1361.094476509311,0.25
973.8000000001529,2271.0271452137385,0.08352099999999998,454.90924705617647,0.16646400000000003,-1361.234438969669,0.25
973.9000000001529,2271.2604158358054,0.08352099999999998,454.95590109664556,0.16646400000000003,-1361.374401430028,0.25
974.0000000001529,2271.493686457902,0.08352099999999998,455.00255513713796,0.16646400000000003,-1361.5143638903862,0.25
974.1000000001529,2271.726957080029,0.08352099999999998,455.04920917765446,0.16646400000000003,-1361.6543263507442,0.25
